キー	旧・英文	旧・訳	新・英文	新・訳
debut	The young pianist's debut performance received rave reviews from the audience and critics alike.	若いピアニストのデビュー公演は、観客や批評家から高く評価されました。	The young violinist made her debut at the concert hall.	その若いバイオリニストはそのコンサートホールでデビューを果たした。
decade	The band's popularity soared during the first decade of the 21st century.	そのバンドの人気は、21世紀の最初の10年間で急上昇しました。	Over the past decade, that small town has changed enormously.	この10年で、あの小さな町は大きく変わった。
decay	The old wooden fence began to decay after years of exposure to the harsh weather.	古い木の柵は、厳しい天候に長期間さらされた後、腐り始めた。	Poor diet is considered a major cause of tooth decay.	貧しい食生活は歯の腐敗の主な原因だと考えられている。
deceased	Many attendees at the funeral mourned the deceased and shared memories of a wonderful life.	多くの参列者が亡くなった方を偲び、素晴らしい人生の思い出を共有しました。	The lawyer read the will aloud before the deceased's family.	弁護士は故人の家族の前で遺言を読み上げた。
deceitfully	The con artist attempted to gain their trust, speaking deceitfully about his supposed wealth.	詐欺師は、自分の財産について偽って語り、彼らの信頼を得ようとしました。	He deceitfully signed the contract using his brother's name.	彼は兄の名前を使って偽って契約書に署名した。
deceive	Don't try to deceive your friends with false promises; honesty is always best.	嘘の約束で友達をだますな、正直であるのが一番良い方法です。	The con artist deceived dozens of elderly investors out of savings.	その詐欺師は何十人もの高齢の投資家をだまして貯金を奪った。
decency	Regardless of the situation, maintaining a degree of decency is crucial for respectful interaction.	どのような状況であっても、礼儀正しさを保つことは、敬意を払った交流のために不可欠です。	At least he had the decency to apologize afterward.	少なくとも彼はその後謝罪するだけの礼儀正しさを持っていた。
decent	We found a decent little restaurant just around the corner for a quick lunch.	角を曲がったところに、手早く昼食をとれるまずまあのレストランを見つけました。	Every worker here deserves a decent wage and safe conditions.	ここで働くすべての労働者はまともな賃金と安全な労働環境に値する。
deception	The politician’s career ended after the public uncovered his elaborate scheme of deception.	一般市民が彼の巧妙な詐欺計画を暴露したことで、その政治家のキャリアは終焉を迎えました。	That entire scheme relied on careful deception from the start.	あの計画全体は最初から巧妙な詐欺に依存していた。
deceptive	The desert landscape, though beautiful, can be deceptive due to its fluctuating temperatures.	砂漠の風景は美しく見えるものの、気温の変化により人を惑わすことがあります。	The calm surface of the lake was strangely deceptive.	その湖の穏やかな水面は奇妙に人を惑わすようだった。
decide	After careful consideration, I decided to accept the job offer from that company.	慎重に検討した結果、その会社からのオファーを受け入れることにしました。	After much thought, they finally decided to cancel the trip.	よく考えた末、彼らはついに旅行を中止することに決めた。
